CASS	Mama __ Elliot
CASSIS	Currant cordial
ASCENT	Trip to the top
STRATA	Levels of society
SOU	Trifling amount
MATS	Gymnasts' protectors
MAPLE	Bowling pin wood
ARID	Bone-dry
TAN	Sunbather's goal
SLED	Tireless transport
BOSNS	Some petty officers, for short
BUGBEAR	Hobgoblin
ONION	Burger topper
STAN	Ollie's partner
NINE	Punch-in time, for many
SETS	Tennis units
ASTO	Concerning
ARAL	Inland Asian 20-Across
UNTIE	Set loose
SCRUBPINE	Straggly evergreen
BONDI	Beulah of films
GIANT	Ott was one
SEA	Neptune's domain
OLD	Like Methuselah
DEBONES	Fillets
ETHANE	Simple hydrocarbon
INTUNE	Properly pitched
UNCLE	Quitter's word
TEN	Hamilton's bill
STAND	Mike holder
FATHA	Earl "__" Hines
FISHY	Suspicious
ALLIN	"It's __ a day's work"
TWINE	Package securer
COO	Dove's sound
CUE	Give a line to
OFF	On vacation
OFT	Frequently, in verse
CIVILWARBUFF	Gettysburg visitor, perhaps
VOSTOK	__ I (Yuri Gagarin's craft)
BLOOD	Leech's meal
SOIL	Potter's buy
STE	Sault __ Marie
OAR	Sculler's need
IKE	1950s campaign name
OSLIN	Singer K.T.
LEFT	Liberals, with "the"
TAKEASHINETO	Like instantly
ASSANTE	Armand of "The Mambo Kings"
TROPO	Prefix with sphere
ERE	Bard's before
STYNE	"Funny Girl" composer Jule
ROVED	Wandered about
VESTED	Absolute, as a right
ELAINE	"Seinfeld" gal
DANCER	One of Santa's reindeer
ISO	Prefix with bar or metric
ICING	Cupcake topper
MODELA	Vintage Ford
MOPSY	Beatrix Potter rabbit
PANCAKE	Breakfast stack item
PATS	Butter servings
ATRA	Razor brand
NEER	__-do-well
EWAN	Actor McGregor
OOP	"Alley __!"
OXEN	Yoked beasts
SAN	__ Quentin
ATEIN	Had a TV dinner, say
WAXPOETIC	Expound, in a way
AMY	One of the Little Women
EGO	Swelled head
TRENT	Former Senate Majority Leader Lott
AMES	"Rag Mop" brothers
GENE	Drummer Krupa
SARGE	Noncom's nickname
NYNY	Part of a Manhattan addr.
ODER	Baltic Sea feeder
