PELTS	Pounds with rocks
PAC	Source of DC funding
ERAS	Chapters of history
LILA	Oscar winner Kedrova
TELL	Archer of legend
SLATTED	Like a louver
SPAS	Hydrotherapy sites
SPRAT	Lean eater of rhyme
PRIG	Goody-goody
AIDE	Man Friday, e.g.
SMELTERS	Ore processors
WAC	WWII-era female enlistee
WELLS	Features of oases
AEIOU	Facetious quintet?
CREEP	Move sneakily
ARIEL	Israel's Sharon
PRIM	Proper's partner
BEER	"Cold one"
BEAGLEPUP	Snoopy, as a youngster
CALLA	Lily variety
RIDE	Tilt-A-Whirl, e.g.
ELIE	Nobelist Wiesel
SALTBAGEL	Variety of baked good sometimes bought in dozens
BOD	Physique, in slang
ALOE	Soothing stuff
TOT	Day care attendee
TAGSUP	Attempts to score on a fly
ALI	Boxer Laila
SOBBED	Cried one's heart out
SARA	__ Lee cakes
OLIN	Lena of "Chocolat"
BONG	Pealing sound
BUGLECALL	Reveille or taps
SWELL	Peachy-keen
SALON	Place for a tan
WREN	Small songbird
ALOUD	For all to hear
CARRIESON	Rants and raves
CARE	Give a hoot
SORT	Alphabetize, say
ORNE	Caen's river
NEST	Place to brood
RING	Pug's workplace
WALES	Charles's princedom
WILDBOAR	Tusked critter
PORE	Sponge opening
ANGLEIRON	Shelf support, perhaps
ELI	Quarterback Manning
BURNS	Cooks too long
BEGGARS	Hat-in-hand sorts
ELLEN	Comic DeGeneres
SEPTET	Disney's dwarfs, e.g.
SNO	__-Cone (cool treat)
PLACID	Serene
PRESS	Tool used on garlic
LAVER	Aussie tennis great Rod
ARIAS	Divas' show-stoppers
ANG	"The Ice Storm" director Lee
ABEAM	Crosswise, on a ship
RARA	__ avis
BIGBOGGLE	Word game with a 25-cube grid
IDLE	Twiddling one's thumbs
GIGA	Prefix with byte
GRIT	Abrasive stuff
LUGE	Winter Olympics event
EBON	Black, in verse
EVIL	Santana's "__ Ways"
ODIE	Housemate of Garfield
ARUBA	Tourist mecca off Venezuela's coast
ART	Sculptures, oils, etc.
SEAL	Use wax on, perhaps
ALGA	Bit of pond scum
RIGOR	Extreme hardship
SRS	Many promgoers: Abbr.
REAM	__ out (scold severely)
STENT	Medical blockage reliever
