VAPID	Lacking spirit
VAST	Seemingly boundless
ALTO	Doo-wop voice
PORT	Cruise stopover
INIT	"What's __ for me?"
DEKE	Rink fake
ICON	Screen symbol
ITISI	Reply to "Who's there?"
CON	Voting "nay"
ORB	Sun or moon
NEO	Prefix with natal
ISME	"Woe __"
ISLAND	Cuba or Aruba
STINT	Time on the job
MANGE	Mutt's woe
EGGED	Pelted on Halloween
ALONE	Without support
TORE	Went like heck
STAG	For men only
STRIKEINBOWLING	X is the symbol for this
ERTE	One-named artist
WREN	Small warbler
TOTTERS	Walks feebly
RANGE	Place to hit a bucket of balls
TIN	Pewter, in part
NUTCASE	Whack job
RENTED	Like many wedding tuxes
REBA	Country's McEntire
OPIATE	Duller of the senses
OLIN	Lena of "Chocolat"
PINT	Guinness serving
INCH	Ruler division
ADO	Commotion
TAR	Pit goo
UPEND	Turn topsy-turvy
PUTS	__ down (criticizes)
LINDA	Pop's Ronstadt
STUB	Well-worn pencil
SETS	Movie studio sights
SPA	Massage locale
SWIT	Loretta of "M*A*S*H*"
PEST	Mole, to a gardener
ARTY	Pseudo-cultured
INCORRECTANSWER	X indicates one
REAR	Caboose's place
NAP	Fabric fuzz
SLO	__-mo replay
NTH	To the __ degree
ETAS	Hellenic H's
ALIST	Top-tier invitees
IPASS	Card-table declaration
INCASH	One way to pay
PEEN	Hammer end
SPOTTY	Lacking consistency
STAR	Walk of Fame implant
MARNER	Eliot's Silas
MARSH	Cattail's locale
ALOHA	Hilo hello
RIMES	Frosty coatings
EST	Guessed-at fig.
SCENT	Bloodhound's lead
ALICE	"Kiss my grits!" sitcom
CANASTA	Two-deck game
NAST	Boss Tweed lampooner
ALTA	Utah ski resort
STAB	Wild guess
TELL	Spill the beans
ANKA	"Diana" singer Paul
ROMANNUMERALTEN	X signifies this
NAG	Has-been horse
UKE	Luau strings
MIN	Hr. fragment
SHES	"__ a Lady" (Tom Jones hit)
AKIN	Closely related
STALK	Celery piece
HASH	"Slung" dish
GENT	Lady's escort
TABLA	Drum accompanying a sitar
