BASES	Acid neutralizers
BARA	Theda of silents
ADIN	Score after deuce
SECT	Sunni or Shia, e.g.
ELKE	Sommer of "A Shot in the Dark"
SENDERS	Spam transmitters, say
MAID	Robin's Marian, for one
MALTA	Island nation near Sicily
APSE	Basilica area
ISO	Prefix with metric or tonic
DONT	"It's forbidden!"
ANTS	Tiny colonists
ALANON	Support group for problem drinkers' families
NICKLACHEY	Ex of Jessica Simpson
TEHEE	[titter]
SNERD	Dummy Mortimer
ADELE	Dance partner for Fred
APSO	Lhasa __ (Tibetan dog)
LIEN	Creditor's claim
RICKNELSON	"Garden Party" singer
EAVE	Icicle formation site
ACHE	Need Advil, say
ANTEDATE	Come before
TANKER	Suez Canal vessel
ASIS	Sale condition
EVA	Braun or Gabor
SOLED	Did some cobbling
DEMURE	Shy and modest
DADA	Jean Arp's art genre
EMIR	Mideast bigwig
MICKJAGGER	Stones leader
USE	Do something with
PATINA	Formation on copper
PARED	Removed the rind from
AGIN	Opposed to, in dialect
TEN	Perfect score, sometimes
AMISS	Out of whack
RAGES	Blows a gasket
RAVE	Act like a lunatic
CPO	Sharkey's TV rank
POCO	Somewhat, musically
OPEN	Ready for customers
DICE	Parcheesi need
MARIN	Cheech of Cheech & Chong
MEL	Gibson or Blanc
SHOP	Hit the mall
SIN	Part of a confession
ARK	Huckabee's state: Abbr.
SEVEN	Mantle's number
SLIT	Open with a letter opener
PIECE	Knight or rook
PULSARS	Celestial radio sources
JELLED	Came together
ERASED	Took off the board
RUNYON	"Guys and Dolls" writer Damon
REAM	Stationery store purchase
ATARI	Early name in arcade games
ALLIN	Risking everything, in poker
TEASE	Pick on
DEL	Tierra __ Fuego
DEKES	Fakes out on the ice
LEGATE	Papal diplomat
EDAM	Red-coated cheese
SEASCAPE	Winslow Homer's "Eight Bells," e.g.
SCTV	Old John Candy comedy show
CRAT	Suffix with pluto or auto
ATTU	Westernmost Aleutian
PIED	Like the fabled piper
ENDS	Wraps up
LAGS	Fails to keep pace
DICKMARTIN	"Laugh-In" cohost
IRA	Nest-egg letters
ISEE	"Gotcha"
ARTE	Commedia dell'__
RATED	Assigned stars to
NERD	Societal klutz
MAVS	Dallas NBAers
STUDS	Features of some snow tires
