ALBS	Priestly vestments
ALAMO	Crockett's last stand
LEMUR	Ring-tailed primate
BASSGUITAR	McCartney's main instrument, in the Beatles
SPOT	Primer pooch
COAL	Furnace fuel
CARROT	Enticement on a stick
OPEDS	Commentators' pages
ASAP	Quickly, in memos
LOLL	Act the couch potato
TERSE	To the point
TENSE	Not relaxed
ELATED	Pleased as punch
RITE	Communion or baptism
STAR	Marquee name
EEL	Slithery swimmer
LEAP	__ of faith
APSO	Lhasa __ (Tibetan dog)
ELITE	"Who's Who" group
AMSO	Retort to "Are not!"
REAL	"It's been __!"
NATAL	Relating to birth
MUSTARDPLASTER	Counterirritant concoction
ALINES	Roomy dresses
ADLIB	Wing it on stage
ORG	Web address ending
LOS	Rock's __ Lobos
DEE	Poor grade
UNIT	Workbook segment
NOT	End of Ripley's slogan
ATL	Part of NATO: Abbr.
ABLER	Better equipped
TOYS	F.A.O. Schwarz goods
DOLT	Noodlehead
OLLIEHARDY	Bowler-wearing comic of old
LOON	Bird on Canada's dollar
TOTE	Mall aid
ORION	Celestial hunter
OBIT	"In memoriam" item
RUDE	Like a churl
ABOIL	Bubbling on the stove
AFRO	Michael Jackson hairdo, once
LAMAZE	Birthing training
LOO	British john
BUTTERFLYBALLOT	Item in 2000 election news
RINKY	__-dink (two-bit)
LAV	Restroom, informally
IDA	Rhoda's TV mom
SIRES	Horse fathers
MAINE	The only one-syllable state name
TERM	Six years, for a senator
MALTED	Fountain treat
NOR	Scand. land
PAVE	Apply macadam to
PINNED	Like many defeated wrestlers
ASK	"Shoot"
SLATE	Roofing material
LIZ	Claiborne of fashion
LOOSE	On the run
HES	"__ a Rebel" (1962 hit)
ERNIE	Banks in Cooperstown
SKEDS	Depot postings, for short
JELLYSTONEPARK	Yogi Bear's hangout
JANE	Eyre of literature
ELLA	Jazzy Fitzgerald
SINE	Trig function
TROY	"Iliad" city
PAID	Receipt word
MALTA	Mediterranean nation
MUM	Close-lipped
IRON	Spinach is rich in it
ARNE	"Rule, Britannia" writer Thomas
UNLET	Still for rent
NOSE	Durante's prominence
IDID	"__ it my way" (Sinatra lyric)
MEADE	Victor at Gettysburg
EYED	Took a gander at
DYES	Salon applications
