SLAP	High-five sound
SCAMP	Disney dog
LABOR	Part of a repair bill
ALINE	Roomy dress
PITSTOP	Indy service area
ABBA	"Dancing Queen" band
ACCENT	Mark over a vowel
BOARD	Two-by-four, e.g.
BRIM	Fedora feature
ANNA	Alamo stormer Santa __
MACAW	Colorful parrot
MESHED	Fit snugly
ALA	__ carte
CUBESTEAK	Tenderized cut of beef
ADIN	Score after deuce, often
WENT	Took one's turn
CALI	Santiago de __, Colombia
CORN	Muffin choice
ELUDE	Give the slip to
ABIT	"This won't hurt __!"
CAIN	Genesis son
SABIN	Oral vaccine pioneer
MONSTERMASH	Classic Halloween tune
TENOR	Kind of sax
STERN	"Private Parts" star Howard
ENT	Med. specialty
PRETEND	Make believe
TENS	Cash register slot
NAB	Slap the cuffs on
ONT	Windsor's prov.
PREDATES	Occurs earlier than
POSES	Sits for a photo
RAID	Late-night fridge visit
ELSE	Choice word
SAKS	Fifth Avenue store
HIPPO	Zoo behemoth
HAMS	Radio hobbyists
IDEO	Prefix with logical
PORCUPINE	What Moe called Larry
BOAR	Sow's mate
BILE	Liver product
BELA	Lugosi of filmdom
ADO	"Without further __ ..."
RAISINS	Morsels in some bran cereals
ASTRO	Houston pro
SNARL	Traffic tie-up
ASK	Seek an answer
MERE	Trifling
ERS	Triage ctrs.
SLED	Iditarod vehicle
NIKES	Sneakers with swooshes
INAHEAP	Piled messily
SOCRATES	Plato's mentor
ASHLEY	Fashion designer Laura
IAN	Actor McKellen
IBISES	"Sacred" birds
USSR	Org. that dissolved in 1991
ABRADES	Rubs away
AWFUL	Worth an F
DELVE	Dig deeply
ELLEN	She "outed" on TV
SMART	Eligible for Mensa
OOP	"Alley __!"
OTIS	Mayberry tippler
ORNE	Author Sarah __ Jewett
HOYTWILHELM	Hall of Fame knuckleballer
YOGI	He caught Whitey
TALL	Starbucks size
TRILL	Warbling sound
LID	Jar topper
OAFS	Klutzes
ELLA	First name in scat
INNIE	Lint-collecting navel
GLUE	Model binder
AVER	State firmly
SEEDY	Moth-eaten
ILLS	Things to cure
PENT	__ up (confined)
