DOLE	Pineapple name
DOWEL	Wooden peg
OPERA	"Carmen" or "Aida"
LEARN	Find out
ELL	Right-angle bend
TAMP	Pack down
TOYED	__ with (treated casually)
AROD	2007 AL MVP, for short
MEN	Chess pieces
POE	"The Raven" author
OPAL	October birthstone
OLDBALLGAME	ONE O'CAT
PARE	Remove the rind from
AMES	Iowa State city
LADE	Load with cargo
OPELS	German autos
STRAFE	Attack from the air
OREO	Creme-filled cookie
LAMA	Tibetan priest
WEALTHYONE	FAT CAT
HURT	Injured
DRED	The __ Scott Decision of 1857
ERR	Miss the mark
RUED	Was sorry about
OBESE	Past pudgy
OTTO	Director Preminger
LANYARD	Rigging rope
YELLOWBELLY	FRAIDY CAT
PETA	Anti-fur gp.
PETAL	Part of a bloom
EARN	Yield as profit
EFT	Young newt
HEATLAMP	Treatment for muscular pain, maybe
HAILS	Flags down, as a cab
ALOT	Zillions
MERE	A __ technicality
PRES	Chief exec.
MERLE	Country's Haggard
METS	Stengel's "amazin'" team
EMIT	Give off
RIPE	Ready for harvesting
PATROLLER	Cop on the beat
PRIDE	Lion family
EMIL	Oscar winner Jannings
BRIAN	Director De Palma
BERT	Ernie's "Sesame Street" pal
GORE	He "used to be the next president"
TIPONEILL	Speaker of the House, 1977-87
NAIL	Hammer's target
YATES	"Bullitt" director Peter
YODELS	Alpine tunes
STEWARDS	Shop VIPs
COM	Word after "dot"
CORP	Fortune 500 abbr.
BITE	Take the bait
MODELAS	Classic Fords
MAZDA	Miata maker
LAYER	Arrange in tiers
ALENE	Coeur d'__, Idaho
STRAW	Camel's backbreaker, proverbially
NOBEL	Coveted prize
NOPE	"Uh-uh"
OVID	"Metamorphoses" author
BALD	Lacking tread
CARE	Give a darn
CZAR	Antidrug honcho
ALT	PC key
OVAL	Track shape
JAZZPLAYER	HEP CAT
JET	Jacuzzi nozzle
AGA	Turkish title
AID	Help out
PILL	Dosage unit
EGAD	"Yikes!"
SIENA	Tuscany city
EDDY	Whirling water
TARA	O'Hara plantation
DREW	Pulled a six-shooter
