CHIEF	Crazy Horse, for one
CRUD	Filthy deposit
HAND	Two pairs, e.g.
INIT	"What's __ for me?"
EDO	Tokyo, formerly
FINNAIR	Line to Helsinki-Vantaa Airport
SWAT	Police jacket letters
SPAYS	Neuters
WEBS	Fly catchers
ARE	"__ we there yet?"
TULANE	New Orleans school
MILA	"__ 18" (Uris novel)
MONKEYSHINE	Playful prank
IDEAL	Model of excellence
LORRE	Mr. Moto player
AROAR	Loud, like a crowd
RANDI	"Amazing" magician
PERU	Andean land
ODOR	__-Eaters (shoe inserts)
UNIONLABEL	Something to look for in clothes
LAWN	Croquet area
NERO	Infamous "fiddler"
DDT	Banned insecticide
NAYS	Con votes
ANKARA	Turkey's capital
NEMO	Nautilus skipper
SAWS	Does some lumbering
SPACEHEATER	Portable source of warmth
KNEELER	Pew attachment
KNOTS	Granny, Windsor, etc.
STEPIN	Take charge
SPEW	Eject, as lava
TORI	Actress Spelling
ELIZ	Monarch crowned in 1953: Abbr.
ENEMY	Bad guy
EVIAN	Bottled water brand
POLAR	Like Peary's explorations
OVO	Lacto-__-vegetarian
OPRAH	First name in daytime TV talk
OSLIN	K.T. of country music
LOBS	Soft tosses
ISEE	"That's clear"
NERD	Social goofball
ERIC	Grid coach Mangini
PIT	Indy 500 locale
HOSE	Radiator attachment
WIZEN	Shrivel up
NOTI	Words of denial
RAS	__ Tafari (Haile Selassie)
FIBER	Bran provides it
FENDOFF	Repel, as an attack
HOBAN	White House architect James
BALBOA	Stallone's fictional boxer
TENSED	Made taut
TOLD	Spilled the beans
CHEETAH	Fastest land animal
CRUMB	Biscuit bit
HENIE	Actress-skater Sonja
EMILE	Writer Zola
BONE	Dog treat
BUYER	Part of an eBay transaction
REMAIL	Send again
AULD	January 1 song word
ADZE	Wood-dressing tool
IFS	Suppositions
IBID	Footnote abbr.
FLEE	Run for it
SELL	__ out (turn traitor)
UNIT	Workbook segment
BODYDOUBLE	Movie stand-in, perhaps
OOP	Caveman Alley __
URI	Mentalist Geller
MILE	Roger Bannister event
OOZE	Move like the Blob
FRIEL	"Molly Sweeney" playwright Brian
BEER	Pretzels go-with
APER	Mimicking sort
FIDEL	Che cohort
