SOAPS	Daytime TV dramas
SUR	Big __, California
ONUP	"Movin' __" ("The Jeffersons" theme)
ACME	High point
PARR	Henry VIII's Catherine
SPUTNIK	Satellite launched 10/4/57
MOMA	NYC cultural center
MENIAL	Like an odd job
ODIN	Chief Norse deity
MEN	Chess pieces
ANG	"Crouching Tiger, Hidden Dragon" director Lee
BOER	__ War of 1899-1902
BARTAB	Tippler's debt
OREO	Twistable cookie
ELMO	"Blondie" tyke
ROOD	Crucifix
UNCAP	Open, in a way
EDEN	Genesis setting
ARLO	Woody's son
RUMRUNNING	Type of smuggling
NASA	Shuttle gp.
REMO	San __ (Riviera resort)
PERTAIN	Have reference
STOOD	Greeted the judge
SIMP	Birdbrain
NSA	Govt. code-crackers
ARIA	Coloratura's piece
ALOT	Zillions
RIOT	Knee-slapper
SOCIALCLIMBING	Snob's activity
SILVA	"The Harvest" actor Henry
ONTAP	Like draft beer
CSA	R.E. Lee's side
CLOTH	Flannel or denim
IMEAN	"In other words ..."
NOBIG	"It's __ deal!"
GIAN	Composer __ Carlo Menotti
PINSK	City southwest of Minsk
PAAR	Carson replaced him
LOOP	Roller coaster feature
MOI	Word from Miss Piggy
ALTA	Utah ski spot
SCOTT	Rag composer Joplin
SOSA	Slugger Sammy
CAST	Assign to a role
REBA	Country's McEntire
RPI	Troy, NY school
AVA	Gardner of film
MOAT	Castle defense
MDSE	Dept. store stock
SPAIN	Most of Iberia
STEERED	Took the helm
RAPIDSSHOOTING	Rafting for the daring
IPECAC	Administration to an overdose victim
OUTSET	Beginning
OAHU	Honolulu's locale
PSAT	HS junior's exam
UAE	Abu Dhabi is its cap.
SPREE	Mall binge
SERB	Belgrade native
PRIM	Proper's companion
RICO	Role for Edward G.
ATHEIST	Madalyn Murray O'Hair, notably
ABLY	With adroitness
IFNI	Sidi __ (Moroccan seaport)
SIDE	Big hunk of beef
TNUT	Bolt holder
ERIC	Burdon or Bogosian
WEBSURFING	Cyber-browsing
WAH	Guitar effect, when doubled
EXO	Outside: Prefix
GPS	Non-specializing MDs
RICA	Costa __
AXLE	Spot for cotter pins
ENDUP	THIS __ (crate marking)
BMOC	Quad celeb
HOYT	Hall of Fame pitcher Wilhelm
DIETS	Slims down
