ELAL	Line to Ben-Gurion
EDS	MS. marker-uppers
LOLA	"Damn Yankees" vamp
ADAM	Eden exile
LOGISTICS	Management details
RIPS	Pants problems
REALLY	"Is that so?"
INDIE	Private filmmaker, informally
POLO	Game you can't play left-handed
SCAN	Read with a bar code reader
PLAY	Tickle the ivories
PRICE	Info read by a bar code reader
LUCK	Gambler's asset
ALES	Hoppy brews
YES	"You bet!"
DODO	Flightless bird of old
ENOCH	Tennyson's "__ Arden"
HIBACHI	Patio grill
RULE	Be in charge
SLAG	Smelter waste
ADLAI	Ike's two-time opponent
ICES	Frozen treats
AMILLIONBUCKS	It's cool
LOTTO	State-run numbers game
UTA	Hagen of Broadway
SOLE	Flat fish
ATE	Chowed down
SPOTTY	Lacking consistency
STAIR	Escalator part
PRIDE	Serengeti family
OARED	Competed in a regatta
BOCA	__ Raton
BEIGE	Neutral shade
OTTO	"Beetle Bailey" dog
SHE	"__ Stoops to Conquer"
STINT	Time spent on the job
HUNCH	Funny feeling
EDGES	Narrowly defeats
TRAIT	Hair color, e.g.
SETH	3-Down's third son
SDAK	Mt. Rushmore's state: Abbr.
STUD	Poker variety
SNOOTIEST	Most stuck-up
AIRCONDITIONING	It's cool
NIELSEN	TV ratings name
OPRAH	First name in TV talk
IDES	Bad day for Caesar
IAGO	"Othello" villain
PONCE	Explorer __ de Leon
RED	Baseball's Schoendienst
PEKE	Toy dog, for short
POE	"The Raven" author
BROTHS	Clear soups
BOSTON	Faneuil Hall locale
SOL	Costa del __
STUTZ	__ Bearcat (classic auto)
MOAT	Castle's protection
MACRO	PC shortcut
LATESTFASHION	It's cool
LULU	Lollapalooza
ATOZ	From __ (completely)
TRIP	Vacation plan
FETE	Wine and dine
OREO	Twistable cookie
NOME	Alaskan seaport
TUTU	Ballet wear
TAB	Restaurant bill
ERECT	Standing upright
EROS	Bow-toting god
SIS	A sib
ALOT	"Thanks __!"
NITRO	Explosive liquid, informally
SEMI	Highway hauler
BUZZ	Beehive sound
PEON	Menial laborer
TOES	"Hang five" hangers
