HASP	Place for a padlock
HOMES	Great Lakes mnemonic
ARIAL	Popular Windows typeface
SACRA	Pelvic bones
PLATTE	River to the Missouri
POME	Apple or pear
POLESTAR	Guiding light
ORAN	Algerian port
MEOW	Tabby's talk
ESSAY	Op-ed piece
ABATE	Let up
ASSENT	Thumbs-up
BOOP	Betty of old cartoons
AFRO	Bushy do
TART	Like a sourball
ERY	Suffix with mock or crock
ORAL	Exam sans pencils
ORES	Assayers assay them
SOFAR	To this point
MICA	Easily split mineral
LAOS	Vientiane's country
SORRY	"My fault!"
EARTHENWAREPOT	CROCK
HEAVE	"Ho!" preceder
RES	Hi-__ graphics
SLATES	Lists of candidates
YEN	Kyoto cash
EATER	Beanery patron
ESTD	Business-sign abbr.
REYES	Point __ National Seashore
STOWED	Put in a footlocker
OWN	Hold the deed on
WARS	Trojan and Korean
EWAN	Actor McGregor
DAYO	Classic Belafonte refrain
IRE	Ill temper
IBIS	Sacred bird of Egypt
RUNT	Litter castoff, often
ERTE	Art Deco icon
VASES	Posy holders
SCAT	Some vocal improvising
WAWA	Toddler's glassful
BURGERTYCOONRAY	KROC
GOV	White House URL suffix
ONASLANT	Not quite straight
OSTIA	Port of old Rome
INTO	A big fan of
DEANS	Baseball's Dizzy and Daffy
SNO	__-Cat (winter vehicle)
STEVEN	Producer Bochco
ELOPER	Stereotypical ladder climber
NOR	__'wester
STATE	Word after Penn or before pen
ENTERS	Walks onstage
LOA	Mauna __
ASTOR	John Jacob of fur fame
SINTER	Cohere with heat
TIBIA	Shinbone
EVANS	Roy's Dale
RENDS	Pulls apart
GATORSRELATIVE	CROC
GENA	Actress Rowlands
ASIN	Z __ "zebra"
TOPE	Have a few too many
RAVE	Four-star review
EDEN	Genesis locale
AESOP	Fabulous fellow?
ASS	Braying beast
TADA	Bit of vocal fanfare
EBAN	Israel's Abba
SNIPE	Take potshots
OVEN	Pizzeria appliance
RIND	Orange coat
SANER	Not so loco
RENT	Monopoly payment
SASS	Bratty talk
