CARL	Sagan of "Cosmos"
CALLA	Lily variety
ALIEN	Not of this earth
ROMAN	Toga sporter
LEONI	See 21-Down
AGER	Golden-__ (senior)
ARLO	Woody's son
GOAT	Blame-taker
ETCH	Design with acid
REKEY	Type in again
ESTEE	Lauder of cosmetics
ESTIMATE	Contractor's calculation
SHAG	Layered do
TACH	Dash dial
EMIT	Send forth
EST	Superlative suffix
ALOE	Natural emollient
ROTE	Routine learning
SHAMS	Phonies
LIMO	Big wheel's wheels
LACK	Be deficient in
TACIT	Unspoken
LEANTOTHERIGHT	Have conservative viewpoints
TEA	With 4-Down, "Jurassic Park III" actress
RAH	"Go team!"
ANNIE	Sharpshooter Oakley
YAM	Candied tuber
AFBS	B-52s' homes: Abbr.
FLO	Showman Ziegfeld
BETH	Letter after Aleph
SAHIB	"Sir," in colonial India
HARASS	Bother persistently
RIFE	Abounding
ATOM	Proton's place
SLUM	Urban renewal target
SERA	Blood fluids
CASE	Task for Holmes
CHOP	Black belt's blow
AURA	Subtle glow
STAN	Mikita of hockey
ETTE	Cigar end?
LEAF	Table insertion
FREE	On the house
TITLE	Car owner's paper
HUTTWOTHREEFOUR	March count
WELLDONE	"Great job!"
ESE	Language suffix
ORATE	Take the podium
HIES	Hotfoots it
EMMA	Avenger Peel
PANELS	Comic strip units
SEA	Coral or Aral
BEEB	English channel, with "the"
BRO	'Hood salutation
LEA	Place to graze
AFOOT	In progress
RESET	Put back to 0
EUROS	Spanish cash, now
SNIPS	Scissors sounds
EDGER	Lawn care tool
TSARS	Bygone rulers
SHEDAFEWPOUNDS	Slim down a bit
SURE	"Without a doubt!"
HAIR	"Aquarius" show
ENOS	Slaughter in baseball
ELIA	Essayist's alias
WELK	Bubbly bandleader
POSE	Sit for a snap
GUANO	Rich fertilizer
GOP	Giuliani's org.
OLEO	Butter sub
RIGA	Latvia's capital
ORION	Celestial hunter
OILS	Removes the squeaks from
OPER	Phone button letters
PERSE	In itself
TAKE	Help oneself to
SSRS	Lith. and Lat., once
