BLAME	Point one's finger at
BLAS	Le Sage's "Gil __"
LACE	Doily material
ADEN	Mideast's Gulf of __
META	Prefix with physics
EDITORS	They wield blue pencils
SARA	Cakedom's __ Lee
SPARE	Bowler's pickup
ARC	Kind of welder
ROIL	Churn up
ADDITIVE	STP, to gasoline
CAP	Grad's topper
CRABS	Grumpy sorts
AGILE	Quick on one's feet
POLER	Gondola guider
LADED	Packed with cargo
PROD	Jab with an elbow
ARGO	Jason's craft
ANAALICIA	"Falcon Crest" actress
ACETICACID	Component of vinegar
COPE	Manage somehow
NAIL	Place for polish
SENATOR	Old Washington baseballer
LIVABLE	Fit for habitation
VEE	Churchillian sign
OPEC	Crude cartel
CARRERE	Tia of "True Lies"
TEASER	Advertising tactic
BEWARE	Word on a dog owner's sign
BALA	__ Cynwyd, Pa.
EMIL	Early Oscar winner Jannings
WANT	Have a yen for
ASKAROUND	Seek information, in a way
ARIEL	Disney's Little Mermaid
ROSS	Antarctica's __ Sea
AMASS	Pile up
PROV	Que. or Ont.
PANE	Glazier's unit
ICBM	SALT I weapon
CARB	Pasta, e.g., for short
BREA	La __ Tar Pits
MESA	Flat formation
LINK	Sausage unit
PARSE	Analyze, as a sentence
PORTLAND	Oregon or Maine city
CARE	Give a hoot
ALTA	Utah ski spot
ONES	Small bills
MIRES	Bogs down
MANTRAP	Femme fatale
RARER	Closer to extinction, perhaps
ARE	"Odds __ ..."
BAABAA	Words to the black sheep
BONA	__ fide
ASSORT	Place into cubbyholes
ASSAY	Analyze, as ore
SEPTA	Nasal partitions
SQUAT	Catcher's posture
ETON	School founded in 1440
TAWNY	Colored like a lion's coat
SEQUELS	Movies with "II" in their titles, e.g.
SWEE	__'Pea ("Popeye" character)
ANTIWAR	Like many '60s protests
IDLE	Twiddling one's thumbs
WALL	Handball court feature
AGEE	Pulitzer winner James
RENE	Lacoste of tennis
SPUN	Made a web
AWKWARDAGE	Early adolescence
KON	"__-Tiki"
ATAD	Just __ (slightly)
NEON	Inert gas
ALLEN	Burns's partner
YAT	Sun __-sen
DENY	Declare untrue
PELEE	Martinique erupter
