HOOT	Barn call
HEELS	No-goodniks
OSLIN	"Hold Me" Grammy winner K.T.
OSAKA	Honshu port
TOLERANT	Broad-minded
SHOP	Hit the mall
SLICER	Deli machine
HEROD	Judean king
OVAL	Locket shape
PISA	Noted tower site
SCALA	La __ (Milan opera house)
SARDI	Noted Big Apple restaurateur
CREEKS	Small streams
ALAR	Banned apple spray
LED	Took the reins
ANY	"__ takers?"
ESSO	Old US gas brand
LEVI	Strauss of denim
ARLEN	"Stormy Weather" composer Harold
ELAL	Line to Ben-Gurion
IRAS	Nest eggs, briefly
READY	Geared up
LIKEACOLANDER	HOLEY
ALIGHT	Touch down
NEURO	Prefix with surgery or transmitter
SNARLED	Like gridlocked traffic
EIK	Apt. feature, in ads
AIR	Run on TV
FLU	Winter bug
FIFED	Accompanied a drum, perhaps
LAWS	Items on the books
SNAP	Piece of cake
NEHI	Radar's soda brand
AVID	All fired up
PAPA	Nickname for Hemingway
SLANG	Much teen talk
SWAP	Give and take
LORE	Handed-down tales
ARIA	Oratorio highlight
TIARA	Pageant topper
TOPO	"__' the mornin' to you!"
ARMANI	Stylish label
EVA	Actress Longoria
WORTHYOFWORSHIP	HOLY
YACHT	Marina sight
STEERAGE	Cheap way to travel
ARI	"Exodus" hero
TAPES	Watergate evidence
MTIDA	Crete's highest elev.
PEAT	Bog fuel
TINEAR	Musical ineptitude
COD	New England catch
NAE	Highlands denial
NETTED	Took home after taxes
ISH	"Sorta" suffix
SILLY	Inane
GENERAL	Lee or Grant
GNOME	Garden statuette
REGAL	Fit for a king
ATALL	"Any Time __" (Beatles tune)
LYRES	Harps' cousins
INITSENTIRETY	WHOLLY
IDEA	Light bulb, in comics
SATS	Tests for srs.
ELIE	Nobelist Wiesel
MODEL	Runway walker
MOT	Bon __ (witty saying)
ONE	"__ if by land ..."
ALOT	Oodles
AGAR	Lab gel
ONEAL	Hoopster Shaq
TIME	Game-stopping call
GALE	Nor'easter
TEARY	About to sob
SEED	Lawn starter
ELLS	Pipe bends
