ALGAE	Birdbath slime
ANTIC	Bit of hijinks
LORNA	"__ Doone"
GLASS	Tiffany art medium
AID	Lend a hand to
EEE	Shoebox letters
PHDS	Profs' degs.
PROUST	"Swann's Way" novelist Marcel
HOUR	Lecture duration, perhaps
DIT	Morse bit
SLEEPSON	Considers overnight
ONES	White Monopoly bills
OSCARS	Prized statuettes
NOHITTERS	Nolan Ryan's seven
ELAL	Flier to Ben-Gurion
SETS	Gets firm
NOLIE	"I swear!"
ROIL	Muddy up
SOLE	Flat fish
TRADEROUTE	Merchant ship's path
ROAR	Ocean sound
CHAT	Bat the breeze
INS	Helpful contacts
OUR	Sharer's word
EMAILS	Writes, modern-style
MAYS	Giants great Willie
CASABAS	Winter melons
ABLE	Up to the task
BAT	Vampire in flight
APART	In pieces
AROW	"... pretty maids all in __"
BARTERSYSTEM	Cashless exchange of goods
ERODE	Wear away
ERIE	Toledo's lake
MAGS	Periodicals, briefly
SMELT	Silvery fish
SHOE	Clog or pump
MARX	Zeppo or Gummo
ELECTRODE	Current conductor
ROOS	Aussie hoppers
ERA	Victorian __
HALE	Patriot Nathan
CLOWN	Bozo or Krusty
CONTESTS	Spelling bees, e.g.
LOGS	Cabin makeup
PRIG	Prudish sort
POEM	Limerick, for one
ORE	Source of iron
MOOD	Frame of mind
MAST	Sail supporter
ROSES	Some wines
RTE	Numbered rd.
EXCHANGERATE	Number of yen to the dollar, e.g.
HEATER	Furnace, for one
RESTED	Took a break
ALEC	Actor Guinness
TESTS	Tries out
ELEMENT	Gold or silver
ERRED	Made a boo-boo
NAOMI	Watts of "King Kong"
THOSE	"__ were the days!"
AERATE	Add fizz to
ACTS	"Hamlet" has five of them
ELIE	Nobelist Wiesel
TSE	Philosopher Lao-__
TIME	Umpire's call
RAH	Stadium cheer
CLOT	Blood flow stoppage
SWITCHEROO	Sudden reversal
WOE	Doomsayer's cry
HIS	__ Master's Voice
ETA	JFK guesstimate
TIDE	It may ebb
TOME	Hefty volume
ITEMS	Tabloid duos
SEER	Tea leaves reader
SEED	Lawn starter
SADIE	__ Hawkins Day
