ARMED	Packing a rod
ASIF	"__ I care!"
RENE	French filmmaker Clair
META	Intro to physics?
EYES	Takes a peek at
DARTGUN	Tranquilizer shooter
CRAWS	Sticking points?
CLODS	Klutzy sorts
RIG	Fix, as a fight
AMA	Docs' org.
WITH	In the company of
STEELIE	Metal marble
PLY	Tissue layer
PROFLIGATE	Overspending scandal?
LAPEL	Place for a carnation
YEARS	Decade divisions
SEEYA	"Toodles!"
LIMIT	"One to a customer," e.g.
RAE	"Norma __" (Field movie)
INTERROGATE	POW camp scandal?
REAM	Copier paper buy
OPA	__-Locka, Fla.
FEASTED	Ate like a king
HEIFER	Young cow
ION	Saturn model
GASPS	Fights for air
PRECEDE	Come before
SILAS	Eliot's Marner
LOLLS	Hangs in the hammock
DICTUM	Formal declaration
DADS	Root beer brand
IDEA	Think tank nugget
CONGREGATE	Church service scandal?
TRY	Take a stab at
RIMINI	Seaport of Italy
MEL	Alice's sitcom boss
ADORN	Deck out
PELEE	Martinique erupter
PELEG	Pequod co-owner, in "Moby-Dick"
GOP	"Red state" org.
OVEN	Appliance with a timer
PEST	Roach or termite
DENY	Refuse to admit
DECAL	Model add-on
DIS	Talk trash about
RAVE	Glowing review
RAT	Lab maze runner
SAG	Mattress problem
RILES	Ticks off
RUSSIAN	Like Putin
MATES	Paired socks
MASTIFF	Huge canine
ROUSED	Stirred up
OOO	Hugs, on cards
PATENT	One of Edison's 1,000+
PERT	Smart-alecky
OREOS	Stackable cookies
OLIVE	Drab shade
RUDER	More boorish
GENES	Trait carriers
NASTY	Far from genial
LUGOSI	Dracula player of 1931
INGE	"Picnic" playwright
ARTISAN	Skilled craftsman
IGOR	Stereotypical lab assistant
SARI	Calcutta wrap
ATMS	PIN-activated devices
NEST	Hatchling's home
IDA	Mrs. McKinley
INVESTIGATE	Private eye scandal?
VEE	Flying geese formation
END	Exterior lineman
VET	Dog doc
AGENT	Bond or Scully
FORMS	Things to fill out
ERE	Bard's before
NEEDY	Poverty-stricken
FRIST	Senator/physician Bill
