MARSH	Where cattails thrive
MAPS	Tourists' aids
ALOT	Zillions
RIPE	Ready to pluck
SCUTTLED	Scrapped
HEP	With it
APER	Monkey-see-monkey-do practitioner
AGENT	Scully or Smart
PANT	Show exhaustion
EMU	Outback runner
RESEATED	Moved, in a way
ORAL	Like some vaccines
ONSIDE	Like some football kicks
ROLLERRINK	Place to skate
AGAIN	"Encore!"
LOGOS	Symbols on business cards
ALICE	Trixie's pal
GAME	Jacks or hearts
NOGO	Scrubbed, at NASA
POPUPMENUS	Features of some software packages
MANY	A bunch of
SLAG	Refinery waste
STET	Editor's "leave it"
ANT	Industrious insect
EMILIO	Designer Gucci
MITE	Dust bug
TENT	Revival setting
EER	Suffix with chariot
MAIDENS	"Fair" ones
MORES	Cultural customs
VALLEY	Green Giant's home
VITO	Head Corleone
ACED	Sailed through
LINERNOTES	CD enclosure
TOTTER	Walk feebly
TACOS	Entrees in shells
ICIER	Not so genial
PAREE	Cole Porter title city
PILES	A whole lot
ROB	Stick up
ONCE	In years past
BEET	V8 vegetable
TEND	Serve the suds
DICED	Like Waldorf salad apples
DISTAFFS	Spinning wheel attachments
PINE	Bench material
PACKITIN	Quit for the day
ODE	Poem of Sappho
SILOS	Fodder storers
SUET	Fatty treat for birds
LANCE	Jouster's need
LOA	Mauna __
REUSES	Gets more life from
ENTERS	Signs up for
SOCKET	Place for a plug
SLEW	Bumped off
GANNETS	Pelicans' kin
GIANT	Polo Grounds player of old
AGREE	Come to terms
FLAK	Harsh criticism
FUSED	Melted together
IGOTTA	"Can't resist!"
DUE	Expected in
DYNE	Unit of force
ISME	"Woe __!"
STAT	"Hurry!" in the OR
MERE	"A __ bagatelle!"
ERAS	Memorable times
ARTE	Puccini's "Vissi d'__"
FLYSWATTER	Anti-pest implement
LIP	Smart talk
ATA	__ snail's pace
NEER	Not e'en once
FINE	Cohort of Howard and Howard
TIARA	Papal topper
TESS	Tracy's Trueheart
SPED	Hotfooted it
ANTES	Chips in
