JAKE	Actor Gyllenhaal
JAB	Setup punch
APES	Fossey focus
KELP	Source of the food thickener alginate
EXTENDS	Lengthens
WADS	Big rolls
WOOLLY	Wild associate?
ADOBES	Sun-dried structures
DINO	Flintstones' Snorkasaurus
SEAU	Linebacker Junior who played in 12 consecutive Pro Bowls
CRETE	"Zorba the Greek" setting
CRADLE	Treetop rocker
RECASTS	Changes the actor
EMIR	Kuwaiti VIP
TIDY	Unlike folks on "Hoarders"
ETS	Saturn drivers?
APEX	Very top
ODIE	Cartoon drooler
REMIT	Invoice word
BELT	Downed shot
OONA	Eugene O'Neill's daughter
ACIDS	Lab flask contents, perhaps
SPELLBOUNDARY	Where a witch's influence ends?
LILTS	Light melodies
NARCS	Some traffic monitors
NILE	River past Memphis
ALS	Tim's "Tool Time" sidekick et al.
DEADLYSECRETARY	Office employee to avoid?
DAMNS	Condemns
ENDUP	Become, finally
AGITA	Antacid target
ETATS	Texas and Tennessee, in Toulouse
CLU	Gulager of "The Virginian"
AETNA	Insurance company named for a mountain
REAIR	Televise again
YANCY	"The Waltons" handyman Tucker
ANGST	Teen sensation?
TLC	What a recent ex may need
SEEA	With 62-Down, call
MDI	Early 16th-century date
STRAUSS	"Also sprach Zarathustra" composer
TAMPA	City on its own bay
RPI	Sch. in Troy, NY
SPOON	Item in a stirring picture?
TAN	Shade on a beach
NUTS	Cookie recipe morsels
SCARLET	Like an infamous "A"
APT	Fitting
PUNIC	Phoenician dialect
UNMASKS	Exposes
SPACEMISSIONARY	Shuttle evangelist?
EMBOSS	Make stand out
SACRED	Divine
ITASCA	Mississippi source
AMP	Part of a roadie's load
ATOM	__ bomb
GARBAGECANARY	Bird in a landfill?
GALE	8 on the Beaufort scale
ARON	Elvis __ Presley
GOAT	Billy __
EULA	"The Long, Hot Summer" vixen __ Varner
RCAS	Some HDTVs
YANG	Bright side?
MARLO	Actress Thomas who is now St. Jude's National Outreach Director
MAV	Dallas NBAer
OURS	For all of us
SCAB	Certain line crosser
BET	See 35-Across
ALOES	Sunburn soothers
ALEC	Actor Baldwin
KANE	Kate __, a.k.a. Batwoman
VENTS	Air ducts
TADA	"There you have it!"
SSGT	USMC rank
