CLAIR	Debussy's "__ de Lune"
CYL	One-eighth of a V-8: Abbr.
LEIF	Explorer Ericson
ASTO	Regarding, in memos
INERT	Not active, chemically
ROSEBUSH	Thorny shrub
SPAT	Petty argument
SHAH	Old Iranian ruler
PILOT	Series preceder, sometimes
ADORE	Be nuts about
TEETER	Move unsteadily
ATMS	Bill dispensers, briefly
ASSN	One "A" of AARP: Abbr.
THEIRONMAN	Famous Hawaii triathlon
MEANT	Stood for
SARGE	Snorkel, to Beetle Bailey
YESNO	Kind of question
HIDE	Take cover
SHEA	It replaced the Polo Grounds
LITES	Lo-cal brews
ALOE	Skin soother
SEAR	Burn a bit
FORESHORTENING	Reduction in length
SALLE	La __ (old car)
ESE	Language ending
TBA	Unfilled, on a TV sched.
TEES	Links props
RTE	Numbered rd.
DAB	Apply gently
DAFT	Off one's rocker
AHOY	Sailor's greeting
BARRACUDAS	Ferocious swimmers
ULM	Einstein's hometown
MAGI	Yule trio
REPO	Seized auto, slangily
POI	Luau dish
AHA	"That's it!"
SLASH	Cut drastically
SON	"That's a joke, __!"
HONE	Put an edge on
ONME	"This one's __!" (treater's words)
MERE	"A __ formality"
ESTD	Founded: Abbr.
FORTHEGOODTIMES	Kris Kristofferson classic
TEL	__ Aviv
DEVIL	Guy with a pitchfork
TREMOLOS	Vibrating musical effects
TYRE	Rolls-Royce radial
INNER	__ sanctum
ART	Murals and the like
ALAN	Ex-Fed head Greenspan
ALL	The whole shebang
NIECES	Sibling's girls
EVE	She raised Cain
NED	Mr. Flanders of "The Simpsons"
OTC	Like NASDAQ trades
OFUSE	Serviceable
TONAL	Relating to pitch
LIMO	Prom wheels
MAUVE	Purple hue
OFTEN	"Come here __?"
IMA	"__ changed man!"
AVILA	Walled city of Spain
FOURLEAFCLOVER	Lucky find
ROBE	After-bath attire
CENT	Euro fraction
EMIT	Give off
RIVE	Tear apart
UNDO	Bring to ruin
CUTE	Like a button?
LIMIT	Upper bound
TED	Rock's Nugent
SAAB	Swedish automaker
EVEN	Neck and neck
OLIVE	Martini garnish
ELSE	"Or __!" (ultimatum words)
SENT	E-mailed, say
SATED	Filled beyond full
