PIERS	Marina features
PAM	Anti-stick spray
IRAQ	'80s foe of Iran
ETTU	Rebuke from Caesar
RITA	"Lovely" Beatles girl
SEERED	Get really steamed
COPA	Barry Manilow song locale
CAMEL	Former cigarette huckster Joe __
OVER	[Continued on other side]
PERP	Criminal, in police lingo
ARCO	With the bow
STAT	PDQ, in the ICU
SWANEE	Al Jolson classic
TILDE	The squiggle in "São Paulo"
ANTED	Started the kitty
TEARY	Like an onion peeler, perhaps
ARTIE	"The Sopranos" restaurateur
AVER	State firmly
WINE	Cellar stock
MATTE	Dull finish
MERC	Chicago exchange, for short
ALTA	Utah ski center
QUARTERPOUNDER	McDonald's offering
TEE	__ time (course slot)
URGED	Pushed strongly
EEL	Sushi bar order
REEDY	Like an oboe's tone
STRODE	Walked briskly
SAHL	Satirical Mort
TRAY	Highchair feature
RILE	Stir up
OAF	Bumbling sort
BADGE	Sgt. Friday carried one
BARED	Made public
ARTS	Cultural doings
DIE	Trivial Pursuit cube
ARIA	La Scala performance
MARIE	One of the Osmonds
MAIN	Principal duct
BIT	Took the bait
BERG	Floating hazard
ISLE	Home to Gilligan
TSOS	General __ chicken
HALFHEARTEDNESS	Lack of enthusiasm
HALAS	George, football's "Papa Bear"
ERA	Mound stat
NAN	Tandoori-baked bread
LYE	Drano ingredient
ARIES	April 1st baby, e.g.
ARLO	Woody's musical son
GLAND	Liver or pancreas
GOLDEN	Like fairy-tale goose eggs
LUNGES	Fencers' moves
LOA	Mauna __
UNHOOK	Release, in a way
ALCOA	Name in kitchen foil
AFTRA	Broadcast workers' org.
LURID	Like tabloid stories
CLOVE	Garlic hunk
ION	Saturn model
IDLED	Twiddled one's thumbs
FULLSPEEDAHEAD	"Onward!"
POTS	Stud stakes
ERIE	Pennsylvania port city
EARN	Yield as profit
EAVE	Roof overhang
ASIN	"It's __ to tell ..."
DENY	Declare untrue
TROD	Trampled
ORAL	Intense exam
OASES	Caravan stopovers
SEA	"... two if by __"
RIVE	Tear apart
TIRE	Get pooped
OVINE	Like Bo-Peep's flock
ADEN	Mideast's Gulf of __
SEND	Fax button
KENYA	Obama's paternal homeland
