__IATA__	__ICAO__	__airport name__	__place name__
AAF	KAAF	Apalachicola Municipal Airport	Apalachicola, Florida, United States
ABE	KABE	Lehigh Valley International Airport	Allentown, Pennsylvania, United States
ABI	KABI	Abilene Regional Airport	Abilene, Texas, United States
ABL	PAFM	Ambler Airport (FAA: AFM)	Ambler, Alaska, United States
ABQ	KABQ	Albuquerque International Sunport	Albuquerque, New Mexico, United States
ABR	KABR	Aberdeen Regional Airport	Aberdeen, South Dakota, United States
ABY	KABY	Southwest Georgia Regional Airport	Albany, Georgia, United States
ACB	KACB	Antrim County Airport	Bellaire, Michigan, United States
ACK	KACK	Nantucket Memorial Airport	Nantucket, Massachusetts, United States
ACT	KACT	Waco Regional Airport	Waco, Texas, United States
ACV	KAVC	Arcata-Eureka Airport	McKinleyville, California, United States
ACY	KACY	Atlantic City International Airport	Atlantic City, New Jersey, United States
ADG	KADG	Lenawee County Airport	Adrian, Michigan, United States
ADK	PADK	Adak Island Airport	Adak Island, Alaska, United States
ADM	KADM	Ardmore Municipal Airport	Ardmore, Oklahoma, United States
ADQ	PADQ	Kodiak Airport	Kodiak, Alaska, United States
ADR	KPHH	Robert F. Swinnie Airport (FAA: PHH)	Andrews, South Carolina, United States
ADS	KADS	Addison Airport	Dallas, Texas, United States
ADT	KADH	Ada Municipal Airport (FAA: ADH)	Ada, Oklahoma, United States
ADW	KADW	Andrews Air Force Base	Camp Springs, Maryland, United States
AED		Aleneva Airport	Aleneva, Alaska, United States
AEL	KAEL	Albert Lea Municipal Airport	Albert Lea, Minnesota, United States
AET	PFAL	Allakaket Airport (FAA: 6A8)	Allakaket, Alaska, United States
AEX	KAEX	Alexandria International Airport	Alexandria, Louisiana, United States
AFF	KAFF	United States Air Force Academy Airfield	Colorado Springs, Colorado, United States
AFN	KAFN	Jaffrey Airport - Silver Ranch Airpark	Jaffrey, New Hampshire, United States
AFO	KAFO	Afton Municipal Airport	Afton, Wyoming, United States
AFW	KAFW	Fort Worth Alliance Airport	Fort Worth, Texas, United States
AGC	KAGC	Allegheny County Airport	Pittsburgh, Pennsylvania, United States
AGN	PAGN	Angoon Seaplane Base	Angoon, Alaska, United States
AGO	KAGO	Magnolia Municipal Airport	Magnolia, Arkansas, United States
AGS	KAGS	Augusta Regional Airport at Bush Field	Augusta, Georgia, United States
AHD		Ardmore Downtown Executive Airport (FAA: 1F0)	Ardmore, Oklahoma, United States
AHF		Arapahoe Municipal Airport (FAA: 37V)	Arapahoe, Nebraska, United States
AHH	KAHH	Amery Municipal Airport	Amery, Wisconsin, United States
AHN	KAHN	Athens-Ben Epps Airport	Athens, Georgia, United States
AIA	KAIA	Alliance Municipal Airport	Alliance, Nebraska, United States
AID	KAID	Anderson Municipal Airport (Darlington Field)	Anderson, Indiana, United States
AIK	KAIK	Aiken Municipal Airport	Aiken, South Carolina, United States
AIN	PAWI	Wainwright Airport (Alaska)|Wainwright Airport (FAA: AWI)	Fort Wainwright, Alaska, United States
AIO	KAIO	Atlantic Municipal Airport	Atlantic, Iowa, United States
AIV	KAIV	George Downer Airport	Aliceville, Alabama, United States
AIY	KAIY	Bader Field|Atlantic City Municipal Airport (Bader Field) (closed 2006)	Atlantic City, New Jersey, United States
AIZ	KAIZ	Lee C. Fine Memorial Airport	Lake Ozark, Missouri, United States
AKB	PAAK	Atka Airport (FAA: AKA)	Atka, Alaska, United States
AKC	KAKR	Akron Fulton International Airport (FAA: AKR)	Akron, Ohio, United States
AKI	PFAK	Akiak Airport	Akiak, Alaska, United States
AKK	PAKH	Akhiok Airport	Akhiok, Alaska, United States
AKN	PAKN	King Salmon Airport	King Salmon, Alaska, United States
AKO	KAKO	Colorado Plains Regional Airport	Akron, Colorado, United States
AKP	PAKP	Anaktuvuk Pass Airport	Anaktuvuk Pass, Alaska, United States
ALB	KALB	Albany International Airport	Albany, New York, United States
ALE		Alpine-Casparis Municipal Airport (FAA: E38)	Alpine, Texas, United States
ALI	KALI	Alice International Airport	Alice, Texas, United States
ALM	KALM	Alamogordo-White Sands Regional Airport	Alamogordo, New Mexico, United States
ALN	KALN	St. Louis Regional Airport	Alton, Illinois, United States
ALO	KALO	Waterloo Regional Airport	Waterloo, Iowa, United States
ALS	KALS	San Luis Valley Regional Airport	Alamosa, Colorado, United States
ALW	KALW	Walla Walla Regional Airport	Walla Walla, Washington, United States
ALX	KALX	Thomas C. Russell Field	Alexander City, Alabama, United States
ALZ		Alitak Seaplane Base	Lazy Bay, Alaska, United States
AMA	KAMA	Rick Husband Amarillo International Airport	Amarillo, Texas, United States
AMK		Animas Air Park (FAA: 00C)	Durango, Colorado, United States
AMN	KAMN	Gratiot Community Airport	Alma, Michigan, United States
AMW	KAMW	Ames Municipal Airport	Ames, Iowa, United States
ANB	KANB	Anniston Metropolitan Airport	Anniston, Alabama, United States
ANC	PANC	Ted Stevens Anchorage International Airport	Anchorage, Alaska, United States
AND	KAND	Anderson Regional Airport	Anderson, South Carolina, United States
ANI	PANI	Aniak Airport	Aniak, Alaska, United States
ANN	PANT	Annette Island Airport	Annette Island, Alaska, United States
ANP	KANP	Lee Airport	Annapolis, Maryland, United States
ANQ	KANQ	Tri-State Steuben County Airport	Angola, Indiana, United States
ANV	PANV	Anvik Airport	Anvik, Alaska, United States
ANW	KANW	Ainsworth Municipal Airport	Ainsworth, Nebraska, United States
ANY	KANY	Anthony Municipal Airport	Anthony, Kansas, United States
AOH	KAOH	Lima Allen County Airport	Lima, Ohio, United States
AOO	KAOO	Altoona-Blair County Airport	Altoona, Pennsylvania, United States
AOS		Amook Bay Seaplane Base (FAA: AK81)	Amook Bay, Alaska, United States
APA	KAPA	Centennial Airport	Arapahoe County, Colorado, United States
APC	KAPC	Napa County Airport	Napa, California, United States
APF	KAPF	Naples Municipal Airport	Naples, Florida, United States
APG	KAPG	Phillips Army Airfield	Aberdeen Proving Ground, Maryland, United States
APH	KAPH	A.P. Hill Army Airfield	Fort A.P. Hill, Virginia, United States
APN	KAPN	Alpena County Regional Airport	Alpena, Michigan, United States
APT	KAPT	Marion County Airport (Tennessee)|Marion County Airport (Brown Field)	Jasper, Tennessee, United States
APV	KAPV	Apple Valley Airport (California)|Apple Valley Airport	Apple Valley, California, United States
ARA	KARA	Acadiana Regional Airport	New Iberia, Louisiana, United States
ARB	KARB	Ann Arbor Municipal Airport	Ann Arbor, Michigan, United States
ARC	PARC	Arctic Village Airport	Arctic Village, Alaska, United States
ARG	KARG	Walnut Ridge Regional Airport	Walnut Ridge, Arkansas, United States
ART	KART	Watertown International Airport	Watertown, New York, United States
ARV	KARV	Lakeland Airport (Noble F. Lee Memorial Field)	Minocqua, Wisconsin|Minocqua/Woodruff, Wisconsin, United States
ARX		Asbury Park Neptune Airport (closed 1977)	Asbury Park, New Jersey, United States
ASE	KASE	Aspen-Pitkin County Airport (Sardy Field)	Aspen, Colorado, United States
ASH	KASH	Boire Field	Nashua, New Hampshire, United States
